object,warning,scene,interacted,participant,order
Frame,red,party,TRUE,12,51
InteractablePen,scaleDown,normal,TRUE,12,52
PlantSelector,popup,garage,TRUE,12,53
Frame,no_warning,open,TRUE,12,54
InteractablePen,red,garage,TRUE,12,55
LightSwitch,scaleDown,open,TRUE,12,56
InteractablePen,scaleDown,party,TRUE,12,57
PlantSelector,no_warning,normal,TRUE,12,58
LightSwitch,red,party,TRUE,12,59
Frame,popup,normal,TRUE,12,60
InteractablePen,scaleDown,open,TRUE,12,61
LightSwitch,Blur,garage,TRUE,12,62
PlantSelector,no_warning,open,TRUE,12,63
Frame,no_warning,garage,TRUE,12,64
PlantSelector,popup,party,TRUE,12,65
LightSwitch,scaleDown,normal,TRUE,12,66
Frame,no_warning,party,TRUE,12,67
InteractablePen,popup,normal,TRUE,12,68
PlantSelector,red,garage,TRUE,12,69
Frame,Blur,open,TRUE,12,70
InteractablePen,popup,garage,TRUE,12,71
LightSwitch,no_warning,open,TRUE,12,72
InteractablePen,Blur,party,TRUE,12,73
PlantSelector,Blur,normal,TRUE,12,74
LightSwitch,scaleDown,party,TRUE,12,75
Frame,no_warning,normal,TRUE,12,76
InteractablePen,no_warning,open,TRUE,12,77
LightSwitch,scaleDown,garage,TRUE,12,78
PlantSelector,red,open,TRUE,12,79
Frame,popup,garage,TRUE,12,80
Frame,Blur,party,FALSE,13,1
InteractablePen,red,normal,FALSE,13,2
PlantSelector,Blur,garage,FALSE,13,3
Frame,popup,open,TRUE,13,4
InteractablePen,no_warning,garage,TRUE,13,5
LightSwitch,Blur,open,TRUE,13,6
InteractablePen,no_warning,party,TRUE,13,7
PlantSelector,popup,normal,TRUE,13,8
LightSwitch,no_warning,party,TRUE,13,9
Frame,Blur,normal,TRUE,13,10
InteractablePen,popup,open,TRUE,13,11
LightSwitch,popup,garage,TRUE,13,12
PlantSelector,Blur,open,FALSE,13,13
Frame,red,garage,FALSE,13,14
PlantSelector,red,party,FALSE,13,15
LightSwitch,red,normal,FALSE,13,16
Frame,scaleDown,party,TRUE,13,17
InteractablePen,Blur,normal,FALSE,13,18
PlantSelector,no_warning,garage,TRUE,13,19
Frame,red,open,FALSE,13,20
InteractablePen,Blur,garage,FALSE,13,21
LightSwitch,popup,open,TRUE,13,22
InteractablePen,popup,party,TRUE,13,23
PlantSelector,red,normal,FALSE,13,24
LightSwitch,Blur,party,FALSE,13,25
Frame,scaleDown,normal,TRUE,13,26
InteractablePen,red,open,FALSE,13,27
LightSwitch,no_warning,garage,TRUE,13,28
PlantSelector,scaleDown,open,TRUE,13,29
Frame,Blur,garage,TRUE,13,30
PlantSelector,Blur,party,FALSE,13,31
LightSwitch,Blur,normal,FALSE,13,32
Frame,red,party,FALSE,13,33
InteractablePen,scaleDown,normal,TRUE,13,34
PlantSelector,popup,garage,TRUE,13,35
Frame,no_warning,open,TRUE,13,36
InteractablePen,red,garage,FALSE,13,37
LightSwitch,scaleDown,open,TRUE,13,38
InteractablePen,scaleDown,party,TRUE,13,39
PlantSelector,no_warning,normal,TRUE,13,40
LightSwitch,red,party,FALSE,13,41
Frame,popup,normal,TRUE,13,42
InteractablePen,scaleDown,open,TRUE,13,43
LightSwitch,Blur,garage,FALSE,13,44
PlantSelector,no_warning,open,TRUE,13,45
Frame,no_warning,garage,TRUE,13,46
PlantSelector,popup,party,TRUE,13,47
LightSwitch,scaleDown,normal,TRUE,13,48
Frame,no_warning,party,TRUE,13,49
InteractablePen,popup,normal,TRUE,13,50
PlantSelector,red,garage,FALSE,13,51
Frame,Blur,open,TRUE,13,52
InteractablePen,popup,garage,TRUE,13,53
LightSwitch,no_warning,open,TRUE,13,54
InteractablePen,Blur,party,FALSE,13,55
PlantSelector,Blur,normal,FALSE,13,56
LightSwitch,scaleDown,party,TRUE,13,57
Frame,no_warning,normal,TRUE,13,58
InteractablePen,no_warning,open,TRUE,13,59
LightSwitch,scaleDown,garage,TRUE,13,60
PlantSelector,red,open,FALSE,13,61
Frame,popup,garage,TRUE,13,62
PlantSelector,scaleDown,party,TRUE,13,63
LightSwitch,no_warning,normal,TRUE,13,64
Frame,popup,party,TRUE,13,65
InteractablePen,no_warning,normal,TRUE,13,66
PlantSelector,scaleDown,garage,TRUE,13,67
Frame,scaleDown,open,TRUE,13,68
InteractablePen,scaleDown,garage,TRUE,13,69
LightSwitch,red,open,FALSE,13,70
InteractablePen,red,party,FALSE,13,71
PlantSelector,scaleDown,normal,TRUE,13,72
LightSwitch,popup,party,TRUE,13,73
Frame,red,normal,FALSE,13,74
InteractablePen,Blur,open,FALSE,13,75
LightSwitch,red,garage,FALSE,13,76
PlantSelector,popup,open,TRUE,13,77
Frame,scaleDown,garage,TRUE,13,78
