code;object;action;start_time;end_time;duration;object_group;warning; ; 
1678395354_924846;easel;hover;105,5653;106,2612;0,6959;;no_warning;;
1678395354_924846;easel;select;106,2612;106,4239;0,1627;;no_warning;;
1678395354_924846;blackboardpin;beginhighlight;106,777;112,3174;5,5404;;no_warning;;
1678395354_924846;lightswitch;hover;115,4363;115,7283;0,292;light;red;;
1678395354_924846;lightswitch;hover;116,7031;116,8009;0,0978;light;red;;
1678395354_924846;lightswitch;select;116,8009;116,9399;0,139;light;red;;
1678395354_924846;lightswitch;halo_on;115,4081;117,4823;2,0742;light;red;;
1678395354_924846;monitor;hover;119,4725;120,2805;0,808;;no_warning;;
1678395354_924846;monitor;select;120,2805;120,3082;0,0277;;no_warning;;
1678395354_924846;monitorpin;beginhighlight;120,3247;124,9025;4,5778;;no_warning;;
1678395354_924846;microphone;hover;129,2044;129,3855;0,1811;;no_warning;;
1678395354_924846;microphone;hover;129,9147;129,9423;0,0276;;no_warning;;
1678395354_924846;microphone;select;129,9423;130,2484;0,3061;;no_warning;;
1678395354_924846;plantselector;select;140,4515;140,6463;0,1948;plant;no_warning;;
1678395354_924846;plantselector;hover;133,6996;140,6463;6,9467;plant;no_warning;;
1676986850_359349;monitor;hover;23,57916;25,77651;2,19735;;no_warning;;
1676986850_359349;monitor;hover;26,93005;27,81997;0,88992;;no_warning;;
1676986850_359349;monitor;select;27,81997;27,87699;0,05702;;no_warning;;
1676986850_359349;monitor;hover;28,80601;28,84758;0,04157;;no_warning;;
1676986850_359349;monitor;hover;28,93069;29,16847;0,23778;;no_warning;;
1676986850_359349;monitor;hover;34,16653;34,44451;0,27798;;no_warning;;
1676986850_359349;monitor;hover;35,63844;35,95781;0,31937;;no_warning;;
1676986850_359349;monitorpin;beginhighlight;28,73655;44,94102;16,20447;;no_warning;;
1676986850_359349;clipboard;hover;53,32716;53,74387;0,41671;;no_warning;;
1676986850_359349;clipboard;hover;54,06324;54,10505;0,04181;;no_warning;;
1676986850_359349;clipboard;select;54,10505;55,13192;1,02687;;no_warning;;
1676986850_359349;lightswitch;hover;58,72621;58,78163;0,05542;light;scaleDown;;
1676986850_359349;lightswitch;select;58,78163;59,11524;0,33361;light;scaleDown;;
1676986850_359349;stickynote;hover;65,5441;65,8496;0,3055;;no_warning;;
1676986850_359349;stickynote;select;65,8496;67,89162;2,04202;;no_warning;;
1676986850_359349;microphone;hover;74,34811;74,40392;0,05581;;no_warning;;
1676986850_359349;microphone;select;74,40392;74,64005;0,23613;;no_warning;;
1676986850_359349;interactablepen;hover;79,70774;79,91625;0,20851;pen;no_warning;;
1676986850_359349;interactablepen;select;79,91625;81,80437;1,88812;pen;no_warning;;
1676986850_359349;frame;hover;82,55417;82,58201;0,02784;frame;scaleDown;;
1676986850_359349;plantselector;select;91,38341;91,41097;0,02756;plant;no_warning;;
1676986850_359349;plantselector;hover;88,1764;91,41097;3,23457;plant;no_warning;;
1676986850_359349;frame;hover;94,85503;95,50776;0,65273;frame;scaleDown;;
1676986850_359349;frame;select;95,50776;95,56523;0,05747;frame;scaleDown;;
1676986850_359349;framepin;entering_pin_time;96,17393;101,1868;5,01287;frame;scaleDown;;
1676986850_359349;easel;hover;105,6023;106,4214;0,8191;;no_warning;;
1676986850_359349;easel;select;106,4214;106,4377;0,0163;;no_warning;;
1676986850_359349;blackboardpin;beginhighlight;106,907;111,1006;4,1936;;no_warning;;
1674465944_939134;frame;hover;42,94065;48,86861;5,92796;frame;no_warning;;
1674465944_939134;frame;hover;49,64749;49,75909;0,1116;frame;no_warning;;
1674465944_939134;monitor;hover;51,5506;52,10627;0,55567;;no_warning;;
1674465944_939134;monitor;hover;52,27272;52,38412;0,1114;;no_warning;;
1674465944_939134;monitor;hover;52,98121;53,27256;0,29135;;no_warning;;
1674465944_939134;monitor;hover;54,03644;54,10588;0,06944;;no_warning;;
1674465944_939134;monitor;hover;54,11977;54,88349;0,76372;;no_warning;;
1674465944_939134;interactablepen;hover;55,22944;55,43786;0,20842;pen;red;;
1674465944_939134;monitor;hover;56,11859;57,42403;1,30544;;no_warning;;
1674465944_939134;interactablepen;select;55,43786;59,8675;4,42964;pen;red;;
1674465944_939134;interactablepen;halo_on;54,99462;60,42237;5,42775;pen;red;;
1674465944_939134;monitor;hover;61,22765;61,67182;0,44417;;no_warning;;
1674465944_939134;monitor;hover;62,00562;62,36663;0,36101;;no_warning;;
1674465944_939134;frame;hover;64,09988;64,34986;0,24998;frame;no_warning;;
1674465944_939134;frame;hover;64,55834;65,3227;0,76436;frame;no_warning;;
1674465944_939134;frame;select;65,3227;65,37765;0,05495;frame;no_warning;;
1674465944_939134;frame;hover;67,75347;67,85046;0,09699;frame;no_warning;;
1674465944_939134;framepin;entering_pin_time;66,01711;71,62706;5,60995;frame;no_warning;;
1674465944_939134;frame;hover;71,98785;72,57121;0,58336;frame;no_warning;;
1674465944_939134;frame;select;72,57121;72,61256;0,04135;frame;no_warning;;
1674465944_939134;framepin;entering_pin_time;72,96004;77,29188;4,33184;frame;no_warning;;
1674465944_939134;monitor;hover;81,51279;83,79002;2,27723;;no_warning;;
1674465944_939134;monitor;hover;84,2066;85,15034;0,94374;;no_warning;;
1674465944_939134;monitor;hover;85,4144;85,80305;0,38865;;no_warning;;
1674465944_939134;stickynote;hover;88,59336;88,60757;0,01421;;no_warning;;
1674465944_939134;stickynote;select;88,60757;92,16235;3,55478;;no_warning;;
1674465944_939134;monitor;hover;95,3131;95,36847;0,05537;;no_warning;;
1674465944_939134;plantselector;warningstart;95,93793;95,96632;0,02839;plant;red;;
1674465944_939134;plantselector;warningstart;95,98048;96,00764;0,02716;plant;red;;
1674465944_939134;plantselector;warningstart;96,39532;96,43697;0,04165;plant;red;;
1674465944_939134;plantselector;warningstart;96,89529;98,90865;2,01336;plant;red;;
1674465944_939134;plantselector;warningstart;98,92291;98,96455;0,04164;plant;red;;
1674465944_939134;plantselector;warningstart;99,25615;99,42262;0,16647;plant;red;;
1674465944_939134;plantselector;warningstart;99,46425;100,339;0,87475;plant;red;;
1674465944_939134;plantselector;warningstart;100,5334;100,9083;0,3749;plant;red;;
1674465944_939134;plantselector;select;101,0057;101,0612;0,0555;plant;red;;
1674465944_939134;plantselector;hover;95,93793;101,0612;5,12327;plant;red;;
1674465944_939134;monitor;hover;105,6711;105,9213;0,2502;;no_warning;;
1674465944_939134;easel;hover;106,2961;107,5729;1,2768;;no_warning;;
1674465944_939134;easel;select;107,5729;107,5891;0,0162;;no_warning;;
1674465944_939134;blackboardpin;beginhighlight;108,0307;113,9465;5,9158;;no_warning;;
1674465944_939134;microphone;hover;119,1945;119,4168;0,2223;;no_warning;;
1674465944_939134;microphone;select;119,4168;119,611;0,1942;;no_warning;;
1674465944_939134;lightswitch;hover;125,2335;125,6919;0,4584;light;no_warning;;
1674465944_939134;lightswitch;hover;126,3445;126,9554;0,6109;light;no_warning;;
1674465944_939134;lightswitch;hover;129,01;129,51;0,5;light;no_warning;;
1674465944_939134;lightswitch;hover;130,2321;130,5238;0,2917;light;no_warning;;
1674465944_939134;lightswitch;select;130,5238;130,8571;0,3333;light;no_warning;;
1674465944_939134;monitor;hover;132,2176;132,4674;0,2498;;no_warning;;
1674465944_939134;monitor;hover;132,9397;133,6617;0,722;;no_warning;;
1674465944_939134;monitor;select;133,6617;133,6778;0,0161;;no_warning;;
1674465944_939134;monitorpin;beginhighlight;134,397;140,2706;5,8736;;no_warning;;
1674663855_546219;monitor;hover;305,9681;308,393;2,4249;;no_warning;;
1674663855_546219;monitor;hover;310,6756;310,8983;0,2227;;no_warning;;
1674663855_546219;monitor;hover;311,0094;311,0378;0,0284;;no_warning;;
1674663855_546219;monitor;hover;311,1492;311,1907;0,0415;;no_warning;;
1674663855_546219;monitor;hover;311,3032;311,3442;0,041;;no_warning;;
1674663855_546219;monitor;hover;311,4001;311,4143;0,0142;;no_warning;;
1674663855_546219;monitor;hover;311,9995;312,1669;0,1674;;no_warning;;
1674663855_546219;monitor;hover;312,2083;312,25;0,0417;;no_warning;;
1674663855_546219;pen_popup;beginhighlight;312,4038;314,9389;2,5351;pen;popup;;
1674663855_546219;pen_popup;open;305,4629;314,9389;9,476;pen;popup;;
1674663855_546219;interactablepen;hover;316,2336;316,6932;0,4596;pen;popup;;
1674663855_546219;frame;hover;319,2421;319,3783;0,1362;frame;no_warning;;
1674663855_546219;frame;hover;319,6975;320,4496;0,7521;frame;no_warning;;
1674663855_546219;plantselector;warningstart;320,7985;320,8138;0,0153;plant;popup;;
1674663855_546219;frame;hover;322,2331;322,3725;0,1394;frame;no_warning;;
1674663855_546219;monitor;hover;322,5684;325,215;2,6466;;no_warning;;
1674663855_546219;monitor;hover;325,2705;325,3119;0,0414;;no_warning;;
1674663855_546219;monitor;hover;325,3959;326,0643;0,6684;;no_warning;;
1674663855_546219;monitor;hover;326,1066;326,162;0,0554;;no_warning;;
1674663855_546219;monitor;hover;326,3987;326,719;0,3203;;no_warning;;
1674663855_546219;interactablepen;select;316,6932;328,2085;11,5153;pen;popup;;
1674663855_546219;monitor;hover;329,2944;329,8093;0,5149;;no_warning;;
1674663855_546219;monitor;hover;331,6759;331,8572;0,1813;;no_warning;;
1674663855_546219;monitor;hover;332,929;333,6651;0,7361;;no_warning;;
